text,hypothesis,majority_label
cancer,cancer patient,entailment
perform,record,entailment
case,species,independent
part,take,independent
paint,picture,other-related
the western,western european,entailment
first wife,wife 's,other-related
era,was,independent
the document,constitution,entailment
release,wednesday,independent
bush,w.,independent
figure,revenue,other-related
do,is on,independent
hold,short,independent
boy,front,independent
of peacekeeping,un peacekeeping,entailment
pollution,environmental pollution,entailment
stand,the sidewalk,other-related
state,the two country,independent
is a,subject to a,independent
trade,west,independent
guide,principle,other-related
indian,woman,independent
earnings,revenue,equivalence
contribution,assistant,entailment
ariel,israel,independent
aids,hiv,entailment
design,include,independent
trade,unite,independent
leave,not,independent
perform,post,independent
is the,lie in,independent
people,civilian,entailment
reality,this time,independent
bring,have,other-related
proper,real,independent
group,class,entailment
win the,winning the,equivalence
the person,man,entailment
corp.,ltd.,entailment
early,sign,independent
official say,the official,independent
is even,there is a,independent
dark,darken,other-related
of norway,the norwegian,equivalence
soil,water,other-related
bank,monetary,other-related
israeli,senior,independent
accident,sink,entailment
arm,human,other-related
hammer,sledgehammer,entailment
people are,persons are,equivalence
polls,the vote,entailment
sit,use,independent
event,stocks,independent
the field,the game,other-related
face,is doing,independent
environment,pollution,other-related
a european,eu,other-related
significant,greatest,entailment
black,brown,alternation
"male ,",man,equivalence
are,pool,independent
august,general,independent
canoe,kayak,other-related
base,number,independent
growth,sector,other-related
intake,the role,independent
elect,was,independent
year,month,entailment
ban on,be banned,equivalence
attack carry out,terrorist attack,entailment
go,retreat,entailment
pipeline,propose,independent
attempt,works,independent
significant,state,independent
buy,own,other-related
half,result,independent
pool,swimming,other-related
young,little girl,entailment
government,reconstruction,independent
building,museum,entailment
base in,headquarters of,equivalence
a car bomb,the car,other-related
organization,professional,other-related
elector,the vote,other-related
attack,cause,independent
president,republic,other-related
crash,wreck,equivalence
team .,football team .,entailment
judge,vote,other-related
center,new,independent
on forming a,to form a,other-related
announce,drew,independent
parliament 's,parliament .,equivalence
bank,operation,independent
france,france 's,entailment
class,structure,independent
activity,it role,independent
average,gas,independent
man,phone,independent
asean,asian,independent
an airplane,the air,other-related
each other,some people,other-related
head,spokesman,other-related
construction .,project .,other-related
do,effective,independent
art,way,independent
demonstration,iraq,independent
of the police,police station,other-related
finalize,sign,independent
iran 's,tehran 's,entailment
government,impact,independent
have cause,was,independent
trade,world,other-related
elderly,old,equivalence
cook,meat,independent
country,others,independent
man,owner,independent
in southern,of south,equivalence
child,go,independent
being,face,independent
a teenager,a young woman,entailment
person,speak,independent
is holding,is taking,alternation
child,number,independent
approve,to ratify,equivalence
blew,die,independent
a woman who,woman with,equivalence
a competition,race,entailment
road,roll,independent
doctor,the doctor,equivalence
takeover,buy,entailment
light,the background,other-related
the beginning,the creation,entailment
home,stand,independent
abbas,prime minister,independent
authority,state,other-related
person is,man to,entailment
propose,was,independent
as many as,up,independent
front,palm,independent
complete,last,independent
conditions,force,independent
make,run,independent
come,leave,alternation
ground,a field,entailment
italian,prodi,entailment
make,not,independent
man,doctor,entailment
agency,energy,independent
current,is,independent
light,statement,independent
force,iraq,independent
there are,are currently,entailment
kid,the man,alternation
council,time,independent
capsule,shuttle,independent
come back,return to,equivalence
adopt,opt,independent
head of,official from,other-related
enhance,measure,independent
participant,was,independent
parliament,political,other-related
man,train,independent
baby,prize,independent
attack,was attacked,other-related
water,hot water,entailment
china,only,independent
a human,man,entailment
north,university,independent
council,governing council,entailment
tail,trick,independent
green,green party,entailment
crime,penalty,other-related
green,park,other-related
eat,to eat,entailment
direct,write,other-related
country,measure,independent
say,speak,entailment
prevent,provide,independent
nation .,system .,independent
interior,the interior ministry,entailment
go,is being,independent
force,weapon,other-related
title,king,entailment
new,something,independent
damage,energy,independent
home .,'s home,entailment
job,the services,entailment
take,were,independent
israel,peace,independent
other,small,independent
kill,was,independent
place,soil,independent
govern council,'s governing council,entailment
design,was created,entailment
turn,weather,independent
form,offer,independent
the shore,the beach,entailment
control,drug,independent
fun,trick,other-related
diplomatic,japan,other-related
combat,treat,independent
executive of,head of the,equivalence
are in,live,independent
show,study,independent
safety,say,independent
defeat,win,alternation
of norway,of the norwegian,entailment
interest,part,independent
take,the face,independent
layer,protocol,independent
"bank ,",world bank,entailment
for man,man,other-related
is having,is playing,independent
military,official,entailment
state,the government,equivalence
endorse,win,independent
former,president,independent
field,large,independent
light,several,independent
boy 's,little boy,entailment
heavy,large,other-related
approach to,form,independent
organization,state,entailment
disease,disorder,other-related
group,military,entailment
go,were,independent
ban,result,independent
dance,the dance,entailment
bush administration,george bush,entailment
american force,u.s.,other-related
war,the us-led war,entailment
be,live,independent
a car,a window,alternation
risk,threat,equivalence
people,muslim,entailment
player,playing,other-related
conference,system,independent
have,violence,independent
first,national,independent
second,week,independent
's presidential election,the presidential,alternation
is on,is attached to,entailment
govern,member,independent
effort .,industry .,independent
place,took,independent
people,a member,entailment
britain,japan,other-related
chief,judge,independent
off,quickly,independent
commit,government,independent
is,stand,independent
folk,national,independent
control,subject,independent
a set,a small,independent
been,terminate,independent
mountain,the mountain,equivalence
introduce in,introduction of,other-related
conference,day,independent
say,endorse,entailment
", tuesday","early tuesday ,",entailment
protest,strike,entailment
distribution,provide,other-related
a grand,"big ,",independent
have a,wear a,independent
bridge,line,other-related
kid,little girl,entailment
file,was,independent
computer,laptop,entailment
mountain,pack,independent
administration will,the government 's,independent
cuba,unite,independent
make,pose,independent
director,law,independent
a small,a baby,entailment
is part of,were,independent
green party,the green,independent
last,make,independent
national,party,other-related
sea,sea level,other-related
activity,role,independent
entitle,european,independent
imposition,penalty,other-related
hold,something,independent
environmental,pollution,other-related
is making,there is,independent
company,total,independent
full,one,independent
million,million of dollar,entailment
president,bush,entailment
a case of,case involve,other-related
border,international,other-related
canada,oil,independent
water,marsh,entailment
construction,propose,independent
senator,speak,other-related
"man ,",who were,independent
beach,seashore,other-related
inquiry,judicial,other-related
fence,metal,entailment
expect,state,independent
on forming a,to form,other-related
children is,boys are,entailment
allow,allow to,equivalence
is talking,n't talk,alternation
award the,receive the,alternation
water,surf,entailment
director,government,other-related
u.s.,home,entailment
ferry,port,other-related
rich,several,independent
nude,topless,entailment
a child,a kid,equivalence
cat,piece,independent
clinical,j.,independent
visit to,visit to china,entailment
band,stage,entailment
set,set up,other-related
british,egypt,alternation
country,cuba,entailment
united,united state,other-related
energy,government,independent
take place,wear,independent
relieve the,to release,other-related
border,the border,equivalence
%,significant,independent
company,staff,entailment
human,not,independent
iraq,sunday,independent
rates and,values and,other-related
form,help,independent
been killed,the death,other-related
an alert,warning,equivalence
is located,it was,independent
member of the,representative of,entailment
girl,lady,other-related
people,american,entailment
clip,music,other-related
become,take,independent
a child,kid in,other-related
international,iraq,entailment
follow,kill,independent
note,euro,entailment
girl,skirt,other-related
looking,stand,independent
adopt,president,independent
government,personal,independent
an international,the un,other-related
game,hold,independent
are having,are eating,entailment
object,body,entailment
adverse,significant,independent
art,national,independent
believe,known,independent
soar,surge,equivalence
big,grand,equivalence
criminal,mental,independent
are,cross,independent
gain in,growth in,equivalence
base,coalition,independent
charge,suspect,other-related
relate to,was the,independent
do,most,independent
connect,create,independent
kill in,people were killed,entailment
cost,factor,independent
earthquake,hit,independent
city,new,independent
observe,offer,independent
a parking lot,parking,other-related
act,leave,independent
city,team,independent
kill by,was shot,entailment
table,use,independent
a deterrent,a deterrent effect,entailment
assembly,make,equivalence
have,the loss,independent
plate,pot,independent
floor,hall,other-related
random,randomly,equivalence
express,condemn,entailment
plastic,toy,other-related
entertainment,spot,independent
back,support for,equivalence
construction of a,under construction,other-related
people were wounded,were injured,equivalence
skate,skater,other-related
agreement,international,independent
interest,rise,independent
baby,meat,independent
president bush,bush 's,entailment
works,police,entailment
the bomb,a car bomb,entailment
the first,the new,other-related
man,time,independent
and to form,forming a,equivalence
council,parliamentary,other-related
amount,cash,other-related
beginning,go ahead,independent
the unite nation,un,other-related
george w.,president george w.,equivalence
agency,same,independent
east timor,east timor 's,equivalence
company,the company 's,other-related
combine,take,independent
stocks,u.s.,independent
look at the,view of,entailment
order,constitution,entailment
mandate,president,other-related
the factory,the plant,equivalence
attend a,attends a,equivalence
art,the craft,entailment
perform,sit,independent
corner,horse,independent
job,official,other-related
the gaza,gaza strip .,entailment
alcohol,drug,entailment
make,representative,independent
gate,open,independent
draft,final,other-related
high,lowest,alternation
help,wear,independent
care,education,entailment
being,the subject,independent
author,creation,independent
of people,group of people,entailment
stick,post,entailment
health,professional,other-related
being taken by,is taking,equivalence
eight,people,independent
follow,hold,independent
to help,will make,independent
member,monetary,independent
full,several,independent
event,person,independent
chance,good,independent
association,minister,independent
sunday morning,early sunday,entailment
administration,spending,independent
foot,mile,alternation
little,a little kid,entailment
to give the,to hand,entailment
research,research group,entailment
cell,cellular,equivalence
municipal,the city,other-related
protectionism,trade protectionism,entailment
last year,percent,independent
chairman,speech,independent
first,state,independent
individual,people,alternation
animal,area,independent
minister,sunday,other-related
background,standing,independent
install,place,independent
day,site,independent
say it,stress,independent
egg,eggs,equivalence
reserve,unite,independent
it activity,program,other-related
coat,rock,independent
protect,reduce,independent
put,represent,independent
ferry,sink,other-related
least,other people,independent
are n't,people are,alternation
fight,militia,other-related
to conserve,to protect the,equivalence
", the world",world bank,entailment
a bomb,bomb explode,entailment
medium,player,independent
interim,outstanding,independent
end,iraqi,independent
friday,time,other-related
authorities,brazil,independent
north,people,independent
department,government,other-related
period,years,entailment
company,part,independent
hold,run,independent
end,order,independent
lady in,woman in,equivalence
locate,sign,independent
company,conglomerate,entailment
league,baseball,entailment
continent,antarctica,entailment
hebron,the west bank,other-related
biological,nuclear,other-related
pilot,was,independent
a happy,very happy,entailment
iraq,stay,independent
right,the left,alternation
rally,march,entailment
's most important,most important,other-related
indigenous,region,other-related
flies,is flying,equivalence
clark,clark kent,entailment
committee,the ioc,entailment
administration,issue,independent
combat,target,other-related
journalism,journalist,equivalence
development,president,independent
direction,gather,independent
early,major,independent
kid,teenager,entailment
delight,very,independent
chair,sofa,entailment
strip,wood,other-related
sanction,u.s.,independent
the sky,the star,alternation
event,region,independent
draw,picture,other-related
some people,friend,entailment
man,face,entailment
practice,were,independent
the world,international,entailment
be approved,approval by,entailment
court in,justice,other-related
export,oil,other-related
people,young,other-related
are,refer to,independent
soldier,u.s. troops,entailment
broker,maker,independent
bear,been,independent
the un,unite nation,other-related
netherlands,spain,alternation
opponent,player,equivalence
force,operation,independent
killed,were,independent
place,police,independent
seize,were,independent
in israel .,the israeli,entailment
be,stay in,independent
department 's,department .,equivalence
man,driver,entailment
activity,findings,independent
stand,wear,independent
's security,national security,entailment
car,park,independent
jerusalem,west,other-related
former,main,independent
council,security council,entailment
meant,take,independent
quarter,share,other-related
grow,more,other-related
government,politics,other-related
the killing,kill by,entailment
a case,disease,alternation
involve,member,independent
play by,to play,entailment
phone,a cell phone,entailment
bank,role,independent
of america 's,unite state,other-related
is making,is drawing,entailment
kid,toy,other-related
britain,today,independent
delegation,chinese,entailment
governor,state,entailment
amount,record,independent
have,state,independent
boat,row,entailment
first,germany,independent
illness,use,independent
is operating,is putting,entailment
commit,develop,independent
france,president,independent
committee 's,"committee ,",equivalence
palestinian,refugee,other-related
win,winning,equivalence
ask,leave,independent
there is a,they 've,independent
stop,to prevent,equivalence
unity,national union,entailment
issue,use,independent
area,wind,independent
cause,due,independent
"the pool ,",swimming pool,entailment
state,the united,other-related
draw,paint,other-related
israel radio,jerusalem,other-related
professional,manager,entailment
kill by,shoot to,entailment
citizen,u.s. citizen,entailment
a wave,wave,equivalence
man,tall,independent
growth was,economy grow,entailment
currency,yuan,entailment
are,beach,independent
mouth,open,independent
probe,the police,independent
alone,original,independent
chance to,chance to get,entailment
people,world,independent
were,were said,entailment
a goal,ball,other-related
budget,deficit,entailment
screen,wall,other-related
deficit,plan,independent
close,together,entailment
hand,lap,other-related
do,show,independent
kid,play,independent
be,search,independent
exit,vote,independent
a number,measure,entailment
charter,member,independent
"monday ,",say that,independent
direct,significant,independent
offer,step,independent
available,is,independent
big,man,independent
has been,"however ,",independent
little,other,independent
of people,there is,independent
attack,troops,other-related
country,korea,entailment
arrive,visit,other-related
make,party,independent
bush is,president bush,other-related
broadcast,network,other-related
progress,unite,independent
general,sessions,independent
peace,support,other-related
live with,live with hiv,entailment
graze,lawn,other-related
are eating,food for,other-related
eat,the food,other-related
report,state,independent
"madrid ,","madrid , spain",entailment
someone,man,entailment
nuclear,talks,independent
budget,chairman,independent
global,south,entailment
space vehicle,space shuttle,entailment
head,is doing,independent
cooperation,introduction,independent
not,stop,independent
enter,up,independent
man,one,independent
musab al-zarqawi,musab al-zarqawi 's,other-related
have find,identify,independent
bit,rate,independent
last,offer,independent
record,was,independent
eu,good,independent
destruction,is destroyed,equivalence
been,control,independent
bit,serve,independent
introduction,research,independent
edinburgh,wales,independent
buy,make,independent
the man,woman,alternation
government,prevention,independent
will become,will take,independent
the vehicle,car was,entailment
dry,wet,alternation
cover,is,independent
baghdad,washington,alternation
are holding,are taking,alternation
girl is,little girl,entailment
drug,hiv,independent
stand,vast,independent
completing,drawing,other-related
child,man,alternation
iran,un,independent
eastern part of,was,independent
former,state,independent
hit,kick,entailment
is,risk,independent
germany,interest,independent
kid,small child,entailment
trip,road,entailment
band,first,independent
peacekeeping,u.n.,other-related
man,man who,entailment
become,go,independent
other,propose,independent
country,western,entailment
of oil,of crude,entailment
automobile industry,the automobile,other-related
out,town,independent
area,case,independent
reform,security,independent
people,leaders,entailment
east,the east coast,entailment
"""",get,independent
headquarters of,in geneva,other-related
korea to,north korea,entailment
bomber,a suicide bomb,entailment
answer,find,independent
report,sweden,independent
had been,take,independent
house,open,other-related
line,water,independent
death of,have die,other-related
filipino,the philippines,other-related
africa,east,other-related
let,place,independent
place,this year,independent
allow,have,independent
member state,union,other-related
young man,the boy,entailment
corner,go,independent
group,soldier,entailment
look,put,independent
population,were,independent
a baby,a toy,independent
a bid to,attempt to,other-related
atmosphere,sun,other-related
decision,government,other-related
take place,was a,independent
germany,the german,entailment
army,set,independent
board,drawing,other-related
concrete,full,independent
"years ,",years ago .,entailment
give,provider,entailment
business,de,independent
improvement,sector,independent
experience,sound,independent
action,the eu,independent
career,history,independent
have,tell,independent
work,worker,other-related
bunch,full,independent
computer,operating,other-related
"solana , the",javier solana,entailment
the city,the mainland,other-related
case,public,independent
evidence,law,other-related
mouse,observe,independent
straw,the foreign secretary,independent
playing,singing,entailment
produce,production,other-related
break,man,independent
people were,"were wounded ,",independent
luis,party,independent
general,third,independent
deal,field,independent
attack,a bomb,entailment
people,old,entailment
play,was,independent
international,french,entailment
quantity,water,independent
agency,news agency,entailment
to fight the,war against,entailment
drug,year,independent
a person,man,entailment
color,hair,independent
san,st.,independent
job,percent,independent
are,take place,independent
sector,service,other-related
've,is a,independent
the coast of,off the,entailment
extinct .,extinction .,equivalence
concrete,small,independent
government,higher,independent
hit,undermine,independent
event,state,independent
and wound,was injured,other-related
box,boxer,other-related
competition,monopoly,alternation
maximum,was,independent
chief,justice,other-related
brief,take,independent
less,well,independent
the east coast,the west coast,alternation
federal,health,independent
locate,office,independent
history,new,alternation
the jewish,to israel,entailment
africa,sub-saharan africa,entailment
cent a,cent per,equivalence
play,hit,entailment
premier,state,independent
israel,pressure,independent
path,trail,equivalence
marine,western,independent
beach,cat,independent
city,money,independent
brown,golden,entailment
committee,new,independent
george bush,the bush administration,entailment
foundation,provide,independent
the military,troops,entailment
crowd,midst,independent
eu,out,independent
post,say,independent
control,under control,equivalence
community,help,other-related
being,station,independent
less,very,independent
expand,increase,equivalence
fly to,to visit,other-related
bread,piece,other-related
more,more important,entailment
express,member,independent
big,past,independent
infect,infect with hiv,entailment
an officer,police,entailment
make,top,independent
"waters ,",territorial waters,entailment
can,person,independent
people,man 's,entailment
the coast,off the coast,entailment
commission,election,independent
in front of,look at,independent
day,president,independent
friday,report,independent
burrow,dig,equivalence
develop,method,independent
africa,percent,independent
dispute,use,independent
effect,the life,independent
others were,were injured,independent
kill,rule,independent
action,was,independent
"factory ,",plant at,independent
place in,was a,independent
object,piece,entailment
commission .,office .,independent
area,guy,independent
man,race,independent
general,industry,independent
compete,part,independent
constitution,govern,other-related
a suicide,blew up,other-related
do,finish,other-related
in dealing,to combat,other-related
lie,person,other-related
of eu,was the,independent
boy,slowly,independent
make a,which is,independent
as president of,presidency of the,equivalence
movement,palestinian,entailment
force,member,independent
away,child,independent
past,the former,entailment
oil,well,independent
a cut,cut,equivalence
light,soil,independent
national,unity,other-related
classroom,the class,other-related
history,world,other-related
the israeli army,idf,entailment
a girl,woman,alternation
least,more,alternation
lie,s,independent
area,internet,entailment
have move,was,independent
criticism,reason,independent
lebanese,syrian,alternation
place,say,independent
brown,red,alternation
plant,flower,entailment
international,un,other-related
in greece,in greek,other-related
headquarters,the unite nation,independent
have,present,alternation
return to,to make,independent
hand,starting,independent
jobless rate,unemployment rate,equivalence
group,mass,independent
boy,lot,independent
commission,government,other-related
gun,shot,other-related
add,temporary,independent
airport,computer,independent
develop,occur,independent
so many,widespread,other-related
have,put,independent
man,three man,entailment
the complaint,police complaint,entailment
complete,round,independent
storm,threat,independent
boy,little girl,alternation
layer,year,independent
say,to show,independent
evacuated,report,independent
nuclear,nuclear weapon,entailment
new,parliament,independent
die,family,independent
disease,work,independent
represent in,the participation of,entailment
propose,related,independent
more,still less,alternation
kid,woman,alternation
are,experience,independent
case of,case to,other-related
have,many,independent
march,towards,other-related
the chance,the opportunity to,equivalence
council,representative,other-related
", have",to give,alternation
swim,swimming,equivalence
blanket,jacket,independent
item,merchandise,other-related
owner is,who own,equivalence
health,occupational,alternation
hide,show,alternation
horse,race,other-related
party,wing,independent
is proposed,recommendation,equivalence
full,possible,independent
hand,palm,entailment
the south,south african,entailment
fifteen,15 member state,entailment
do,done,other-related
a dog,a puppy,entailment
being,throw,independent
was killed on,was murdered,equivalence
give,use,independent
country,relations,other-related
beginning,january,other-related
action,group,independent
first,have,independent
language,use,independent
economic,union,independent
in front,is doing,independent
is being,is getting,entailment
a bunch of,a group,equivalence
crude oil,oil from,other-related
the water,the river,entailment
director,office,other-related
lady,man,alternation
cat,nobody,independent
large,pink,independent
dock,pond,independent
more,vast,independent
missile,wednesday,independent
come,to drop,independent
feel,say,other-related
argue,look,independent
company 's,the company,equivalence
people,researcher,entailment
food,general,independent
basket,net,independent
magazine,issue,entailment
anyone,someone,other-related
treatment,use,other-related
lead,pending,independent
make,release,independent
campaign .,electoral campaign .,entailment
of eu,was,independent
baby,equipment,independent
", have",take place,independent
iraq,peace,independent
hospital,life,independent
achieve,reform,independent
consider a,is a,independent
do a,perform a,equivalence
street,the sidewalk,other-related
iran,iran 's,entailment
community,crisis,other-related
ride,sit,other-related
is being,man,independent
overall,way,independent
china 's,in china .,entailment
try to,is aimed at,entailment
force .,military .,other-related
earth,ozone,other-related
kill .,say .,independent
for man,man is,equivalence
make,to help,independent
a pistol,a weapon,entailment
"""",part,independent
environmental,reduce,independent
adverse,drug,other-related
game,the competition,entailment
is making a,make of,other-related
of southeast,southeast asian,entailment
province,supply,independent
foot,hand,other-related
the kid,girl,entailment
increase,say,independent
aim at,was,independent
is,record,independent
art,artwork,entailment
grow,were,independent
long-term,low,independent
annan,secretary-general,other-related
a victory,the winner,other-related
sun,sunshine,entailment
an airplane,fly,other-related
day .,friday .,entailment
bit,world,independent
attempt to,try to,equivalence
a car,another car,other-related
a young,one little,other-related
disease,heart,other-related
adult,child,alternation
international,monday,independent
become,title,independent
economic,nation,alternation
a classroom,the class,other-related
child,children are,other-related
pollution,sewage,entailment
concern,expect,independent
bike,motorcycle,entailment
drug,increase,independent
man who,woman who,alternation
contain,have,equivalence
pope,vatican,other-related
half of,"year ,",alternation
job,number,independent
playing,tease,entailment
give,lead,independent
early,friday,independent
monitor,take,independent
as well,use,independent
cost,vehicle,independent
party,were,independent
australia,new,independent
ability,risk,independent
more time,still,independent
jail,row,independent
find,were,independent
", are",is located,independent
headquarters,is,independent
are in,in front,independent
"""",new,independent
north,nuclear,independent
the u.n.,un,equivalence
huge,yuan,independent
government,revenue,other-related
people,israelis,entailment
river,seas,alternation
focus,is,independent
hat,umbrella,other-related
allow,measure,independent
airplane,fly,other-related
have,inhabitant,independent
marry,wedding,other-related
award,role,independent
increase,report,independent
official say,say saturday,independent
it sales,revenue,equivalence
illness,severe,other-related
authority,economy,independent
economy,reform,independent
call,a phone call,entailment
parliament,say,independent
lie,man,independent
's visit,his visit to,entailment
%,business,independent
relate,was,independent
citizen,republic,other-related
kid,the child,equivalence
give,have,independent
high,young,independent
day,monday,entailment
field,play,other-related
human,time,independent
girl,mouth,independent
financial,provide,independent
health,mental health,entailment
girl,teenage girl,entailment
investor,security,independent
american,command,independent
area,city,entailment
"""",screen,independent
of paper,piece of,independent
crude,crude oil,entailment
commissioner,union,independent
the first,the very,independent
and later,and then,equivalence
pollution .,air pollution,entailment
it nuclear,of nuclear weapon,entailment
drive,driver 's,other-related
air,boy,independent
earth,layer,other-related
drinking,virgin,independent
only,poorly,independent
the great,the world,independent
close,dispute,independent
department,general,other-related
matsushita,panasonic,alternation
towards,track,independent
little,man,independent
were,were kill,independent
other,substance,independent
a u.s. soldier,us soldier,equivalence
avert,relieve,independent
nation,iraq,entailment
department,effort,independent
iraqi,u.s.,independent
illegal,smuggling,other-related
much,yesterday,independent
playing,prize,independent
military,the israeli army,entailment
inquiry,october,independent
court,justice,other-related
car,the trunk,entailment
high,stick,independent
focus,world,independent
executive of the,head of the,equivalence
kids are,boys are,entailment
gear,man,independent
thus,thus far,entailment
state,use,independent
force,promotion,independent
government,help,independent
find in,was in,independent
congress,last,independent
parliament,party,other-related
dog,owner,other-related
"a share ,",per share,equivalence
set,station,independent
trade,product,entailment
member state,other country,independent
movement,envoy,entailment
project,building,entailment
receive,was,independent
a bid,attempt to,independent
also,such as,other-related
protect,protective,equivalence
a small,little boy,entailment
hundred of people,of hundred,other-related
people,israeli,entailment
african,trade,independent
attend,watch,other-related
road,street,equivalence
parliament,russian,independent
say,use,independent
force,troops,other-related
do,have fun,entailment
governor,senator,other-related
other,relations,independent
accord,follow,independent
beginning of,creation of,equivalence
%,mine,independent
paper is,paper use,other-related
earn,play,independent
israeli,jew,other-related
bush,mountain,independent
another person,another man,entailment
key,system,independent
poverty,the world,independent
percent,population,independent
marketplace,product,other-related
police,the cop,equivalence
been,sentence,independent
military,operations,entailment
january,the first,other-related
say that,that he have,independent
paper,newspaper,entailment
strip .,gaza strip,entailment
effort,spending,independent
person,someone,equivalence
week,days,entailment
keep,state,independent
general,use,independent
officer,a police officer,entailment
measure,various measure,entailment
cultural,economic,independent
a group,a pack,entailment
award,receive,other-related
account,issue,independent
the radio,", israel radio",entailment
sector,services sector,entailment
is showing,show to,equivalence
follow,output,independent
attention,president,independent
girl,the lady,other-related
woman,female,entailment
coast,sea,other-related
aid,humanitarian,other-related
are infected,infect with hiv,entailment
officially,open,other-related
fish,tackle,other-related
has been,was officially,independent
compare,report,independent
deal,mention,independent
offer,win,independent
a girl,a young lady,equivalence
stand,view,independent
report,washington,independent
terrorist,u.s.,other-related
say,support,independent
a car bomb,car bomb explosion,other-related
the u.s. military,u.s. soldier,entailment
a number,years,other-related
the president,president bush,entailment
are,belongs to,independent
girl,a little girl,entailment
professor,university,other-related
animal,puppy,entailment
and is,and is looking,entailment
federal reserve,unite state,other-related
area,oil,independent
stone,street,other-related
february,spring,alternation
front,ribbon,independent
january,the beginning,other-related
bomb explode,explode outside,entailment
measure,legislation,entailment
"""",soldier,independent
a little boy,a young boy,equivalence
face,turn,independent
green,strip,independent
the last,"this year ,",independent
manager,office,other-related
department,young,independent
general,unite nation,independent
base,stand,independent
liberation,national,other-related
the water,rain,entailment
groom,marriage,other-related
lot of,many people,entailment
attack,tuesday,independent
complete,trip,independent
a police station,police,other-related
company,sales,other-related
the united state,united,other-related
live,resident,other-related
have take,was,independent
c,more,independent
foreign,powell,other-related
envoy,member,independent
be acquired,be bought,entailment
a risk,threat,equivalence
have cause,make it,independent
distance,out,independent
"people ,",were killed,other-related
the high,the lowest,alternation
"% , the",percent .,equivalence
is,is now,entailment
are,money,independent
attention,message,other-related
apparent,suppose,independent
increase,percent,other-related
being,rest,independent
response,was,independent
the police,the police officer,entailment
are raising,raise,equivalence
of the unite,the unite nation,entailment
weather .,weather conditions .,equivalence
level,soldier,independent
play,push,independent
flee,see,independent
rates,interest rates,entailment
western,western european,entailment
mix,shake,entailment
take,up,independent
europe,the european,equivalence
bush,president george bush,entailment
air,day,independent
scenic,view,other-related
help,place,independent
place at,take part in,independent
bird,health,independent
visit to china,'s visit,entailment
area,man,independent
grow,spending,independent
retirement,time,independent
aid,area,independent
experience,reduce,independent
eu,statistics,independent
is playing,play the,other-related
another woman,one woman,alternation
and is,and prepare,independent
off the coast,on the coast,alternation
day,palestinian,independent
percent,yuan,independent
presidential election,"presidential election ,",equivalence
boards,a board,entailment
government,pressure,independent
wound by,people were injured,entailment
manufacturer,output,other-related
drive,the road,other-related
last,third and final,entailment
an american,washington,other-related
to push,to show,independent
good,win,independent
china,west,independent
movement,freedom,entailment
cancer .,breast cancer,entailment
become,will become,entailment
switzerland,zurich,other-related
of them were,people were,entailment
korean,north,other-related
", president",say the,independent
a pole,a stick,entailment
officer,commissioner,entailment
podium,speak,other-related
practice,range,independent
jump,jump off,entailment
citizen,national,independent
architect,build,other-related
arctic,inuit,independent
need,reduce,independent
achieve,strike,independent
live with,reach,independent
resource,state,independent
agreement,property,other-related
agency,program,independent
progress,was,independent
box,boy,independent
car,garage,other-related
a person,a boy,entailment
criticism,criticize,equivalence
cambodia,khmer,entailment
editor,newspaper,other-related
is being used,is using,equivalence
authority,eligible,independent
member,partner,entailment
being,reality,independent
price,risk,independent
the ball,baseball,entailment
conference,un,other-related
case,involve,independent
drink,water,other-related
"penalty ,",death penalty,entailment
happy,very,independent
industry,company,entailment
lord,major,independent
case,death,independent
hockey,ice hockey,entailment
computer,personal,other-related
break,work,other-related
hiv,time,independent
internet,new,independent
vehicle,jeep,entailment
kill,take,independent
community,international,entailment
bike,cyclist,other-related
open a,open and,other-related
wooden,stick,entailment
first,myanmar,independent
john,unite,independent
army,gun,other-related
el salvador,"salvador ,",independent
people can,population,independent
political,minister,entailment
country,prime,independent
committee,support,independent
detain,use,independent
attend,was,independent
arrest,hold,other-related
secretary,assistant secretary,entailment
the pool,a swimming pool,entailment
find,identify,entailment
the primary,the second,alternation
"""",film,independent
economy,interest,independent
switzerland,berne,entailment
report,representative,independent
the election,the vote,other-related
company,street,independent
race,style,independent
approve,oppose,alternation
period,stock,independent
past,saddam,independent
evidence,probe,independent
kim,say,independent
substance,drug,entailment
council,monetary,other-related
locate,settle,independent
in december,in january,alternation
take to,rush to,entailment
been killed,toll of,other-related
end,technology,independent
somebody 's,there is,independent
drink,horse,independent
pollution,priority,independent
egg,someone,independent
death of,kill by,equivalence
office,office of the,entailment
done,now,alternation
decide,have agree,other-related
study,drug,entailment
party,a member,entailment
effective,population,independent
"people ,",million people,entailment
gain,stocks,other-related
run,walk,alternation
rock,stone,equivalence
auditor,management,other-related
"widow ,",'s widow,entailment
minister in,foreign minister,entailment
the case,the man,independent
steps,weapon,independent
bang,side,independent
racer,runner,equivalence
got,has been,independent
the month,march,entailment
appear,raise,independent
break,crack,equivalence
embassy,u.s.,independent
coat,table,independent
u.s. secretary,us secretary,equivalence
board of director,director,entailment
plan,propose,other-related
el salvador,guatemala,alternation
being,large,independent
london,blair,entailment
is preparing,prepare by,other-related
energy,project,independent
aircraft,mobile phone,independent
ice,water,other-related
hamas,israeli,independent
part in,participation in,independent
artist,paint,other-related
deputy,president,independent
broker,business,other-related
the company,atlantic,entailment
were,wound,independent
costs,price,equivalence
now,was,independent
being,writing,independent
