truth,hypothesis,majority_label
art,first,independent
growth,office,independent
force,iraqi,independent
combine,sole,independent
authorities,site,independent
substance,water,hypernym
cyprus,talks,independent
effective,other,independent
regard,response,independent
being played,playing an,hyponym
kill,the assassination,hypernym
drug,have,independent
mr.,romano,independent
currency,euro,hypernym
march,wednesday,independent
council,observer,independent
mac,macintosh,synonym
front,table,independent
border,dispute,other-related
the united,u.s.,other-related
growth,term,independent
field,off,independent
background,front,antonym
"eu ,",of europe .,other-related
the killing,was killed,other-related
man,men are,hypernym
border,country,other-related
"""",such,independent
reveal,work,independent
hold,prison,independent
full,little,independent
art,craft,synonym
being prepared,is preparing a,other-related
construction,financing,other-related
deep,ocean,other-related
're,support,independent
player,point,other-related
endanger,extinction,hypernym
area,front,hypernym
administration,european,independent
cancer,cancer patient,hypernym
perform,record,hypernym
case,species,independent
part,take,independent
paint,picture,other-related
the western,western european,hypernym
first wife,wife 's,other-related
era,was,independent
constitution,the document,hyponym
release,wednesday,independent
bush,w.,independent
figure,revenue,other-related
do,is on,independent
hold,short,independent
boy,front,independent
of peacekeeping,un peacekeeping,hypernym
environmental pollution,pollution,hyponym
stand,the sidewalk,other-related
state,the two country,independent
is a,subject to a,independent
trade,west,independent
guide,principle,other-related
indian,woman,independent
earnings,revenue,synonym
assistant,contribution,hyponym
ariel,israel,independent
aids,hiv,hypernym
design,include,independent
trade,unite,independent
leave,not,independent
perform,post,independent
is the,lie in,independent
civilian,people,hyponym
reality,this time,independent
bring,have,other-related
proper,real,independent
class,group,hyponym
win the,winning the,synonym
man,the person,hyponym
corp.,ltd.,hypernym
early,sign,independent
official say,the official,independent
is even,there is a,independent
dark,darken,other-related
of norway,the norwegian,synonym
soil,water,other-related
bank,monetary,other-related
israeli,senior,independent
accident,sink,hypernym
arm,human,other-related
hammer,sledgehammer,hypernym
people are,persons are,synonym
polls,the vote,hypernym
sit,use,independent
event,stocks,independent
the field,the game,other-related
face,is doing,independent
environment,pollution,other-related
a european,eu,other-related
greatest,significant,hyponym
black,brown,alternation
"male ,",man,synonym
are,pool,independent
august,general,independent
canoe,kayak,other-related
base,number,independent
growth,sector,other-related
intake,the role,independent
elect,was,independent
month,year,hyponym
ban on,be banned,synonym
attack carry out,terrorist attack,hypernym
go,retreat,hypernym
pipeline,propose,independent
attempt,works,independent
significant,state,independent
buy,own,other-related
half,result,independent
pool,swimming,other-related
little girl,young,hyponym
government,reconstruction,independent
building,museum,hypernym
base in,headquarters of,synonym
a car bomb,the car,other-related
organization,professional,other-related
elector,the vote,other-related
attack,cause,independent
president,republic,other-related
crash,wreck,synonym
football team .,team .,hyponym
judge,vote,other-related
center,new,independent
on forming a,to form a,other-related
announce,drew,independent
parliament 's,parliament .,synonym
bank,operation,independent
france,france 's,hypernym
class,structure,independent
activity,it role,independent
average,gas,independent
man,phone,independent
asean,asian,independent
an airplane,the air,other-related
each other,some people,other-related
head,spokesman,other-related
construction .,project .,other-related
do,effective,independent
art,way,independent
demonstration,iraq,independent
of the police,police station,other-related
finalize,sign,independent
iran 's,tehran 's,hypernym
government,impact,independent
have cause,was,independent
trade,world,other-related
elderly,old,synonym
cook,meat,independent
country,others,independent
man,owner,independent
in southern,of south,synonym
child,go,independent
being,face,independent
a teenager,a young woman,hypernym
person,speak,independent
is holding,is taking,alternation
child,number,independent
approve,to ratify,synonym
blew,die,independent
a woman who,woman with,synonym
a competition,race,hypernym
road,roll,independent
doctor,the doctor,synonym
buy,takeover,hyponym
light,the background,other-related
the beginning,the creation,hypernym
home,stand,independent
abbas,prime minister,independent
authority,state,other-related
man to,person is,hyponym
propose,was,independent
as many as,up,independent
front,palm,independent
complete,last,independent
conditions,force,independent
make,run,independent
come,leave,antonym
a field,ground,hyponym
italian,prodi,hypernym
make,not,independent
doctor,man,hyponym
agency,energy,independent
current,is,independent
light,statement,independent
force,iraq,independent
are currently,there are,hyponym
kid,the man,alternation
council,time,independent
capsule,shuttle,independent
come back,return to,synonym
adopt,opt,independent
head of,official from,other-related
enhance,measure,independent
participant,was,independent
parliament,political,other-related
man,train,independent
baby,prize,independent
attack,was attacked,other-related
hot water,water,hyponym
china,only,independent
a human,man,hypernym
north,university,independent
council,governing council,hypernym
tail,trick,independent
green,green party,hypernym
crime,penalty,other-related
green,park,other-related
eat,to eat,hypernym
direct,write,other-related
country,measure,independent
say,speak,hypernym
prevent,provide,independent
nation .,system .,independent
interior,the interior ministry,hypernym
go,is being,independent
force,weapon,other-related
king,title,hyponym
new,something,independent
damage,energy,independent
's home,home .,hyponym
job,the services,hypernym
take,were,independent
israel,peace,independent
other,small,independent
kill,was,independent
place,soil,independent
's governing council,govern council,hyponym
design,was created,hypernym
turn,weather,independent
form,offer,independent
the beach,the shore,hyponym
control,drug,independent
fun,trick,other-related
diplomatic,japan,other-related
combat,treat,independent
executive of,head of the,synonym
are in,live,independent
show,study,independent
safety,say,independent
defeat,win,antonym
of norway,of the norwegian,hypernym
interest,part,independent
take,the face,independent
layer,protocol,independent
"bank ,",world bank,hypernym
for man,man,other-related
is having,is playing,independent
military,official,hypernym
state,the government,synonym
endorse,win,independent
former,president,independent
field,large,independent
light,several,independent
boy 's,little boy,hypernym
heavy,large,other-related
approach to,form,independent
organization,state,hypernym
disease,disorder,other-related
group,military,hypernym
go,were,independent
ban,result,independent
dance,the dance,hypernym
bush administration,george bush,hypernym
american force,u.s.,other-related
the us-led war,war,hyponym
be,live,independent
a car,a window,alternation
risk,threat,synonym
muslim,people,hyponym
player,playing,other-related
conference,system,independent
have,violence,independent
first,national,independent
second,week,independent
's presidential election,the presidential,alternation
is attached to,is on,hyponym
govern,member,independent
effort .,industry .,independent
place,took,independent
a member,people,hyponym
britain,japan,other-related
chief,judge,independent
off,quickly,independent
commit,government,independent
is,stand,independent
folk,national,independent
control,subject,independent
a set,a small,independent
been,terminate,independent
mountain,the mountain,synonym
introduce in,introduction of,other-related
conference,day,independent
endorse,say,hyponym
", tuesday","early tuesday ,",hypernym
protest,strike,hypernym
distribution,provide,other-related
a grand,"big ,",independent
have a,wear a,independent
bridge,line,other-related
kid,little girl,hypernym
file,was,independent
computer,laptop,hypernym
mountain,pack,independent
administration will,the government 's,independent
cuba,unite,independent
make,pose,independent
director,law,independent
a baby,a small,hyponym
is part of,were,independent
green party,the green,independent
last,make,independent
national,party,other-related
sea,sea level,other-related
activity,role,independent
entitle,european,independent
imposition,penalty,other-related
hold,something,independent
environmental,pollution,other-related
is making,there is,independent
company,total,independent
full,one,independent
million,million of dollar,hypernym
bush,president,hyponym
a case of,case involve,other-related
border,international,other-related
canada,oil,independent
marsh,water,hyponym
construction,propose,independent
senator,speak,other-related
"man ,",who were,independent
beach,seashore,other-related
inquiry,judicial,other-related
fence,metal,hypernym
expect,state,independent
on forming a,to form,other-related
boys are,children is,hyponym
allow,allow to,synonym
is talking,n't talk,antonym
award the,receive the,antonym
surf,water,hyponym
director,government,other-related
home,u.s.,hyponym
ferry,port,other-related
rich,several,independent
nude,topless,hypernym
a child,a kid,synonym
cat,piece,independent
clinical,j.,independent
visit to,visit to china,hypernym
band,stage,hypernym
set,set up,other-related
british,egypt,alternation
country,cuba,hypernym
united,united state,other-related
energy,government,independent
take place,wear,independent
relieve the,to release,other-related
border,the border,synonym
%,significant,independent
company,staff,hypernym
human,not,independent
iraq,sunday,independent
rates and,values and,other-related
form,help,independent
been killed,the death,other-related
an alert,warning,synonym
is located,it was,independent
member of the,representative of,hypernym
girl,lady,other-related
american,people,hyponym
clip,music,other-related
become,take,independent
a child,kid in,other-related
international,iraq,hypernym
follow,kill,independent
euro,note,hyponym
girl,skirt,other-related
looking,stand,independent
adopt,president,independent
government,personal,independent
an international,the un,other-related
game,hold,independent
are eating,are having,hyponym
body,object,hyponym
adverse,significant,independent
art,national,independent
believe,known,independent
soar,surge,synonym
big,grand,synonym
criminal,mental,independent
are,cross,independent
gain in,growth in,synonym
base,coalition,independent
charge,suspect,other-related
relate to,was the,independent
do,most,independent
connect,create,independent
kill in,people were killed,hypernym
cost,factor,independent
earthquake,hit,independent
city,new,independent
observe,offer,independent
a parking lot,parking,other-related
act,leave,independent
city,team,independent
kill by,was shot,hypernym
table,use,independent
a deterrent,a deterrent effect,hypernym
assembly,make,synonym
have,the loss,independent
plate,pot,independent
floor,hall,other-related
random,randomly,synonym
condemn,express,hyponym
plastic,toy,other-related
entertainment,spot,independent
back,support for,synonym
construction of a,under construction,other-related
people were wounded,were injured,synonym
skate,skater,other-related
agreement,international,independent
interest,rise,independent
baby,meat,independent
bush 's,president bush,hyponym
police,works,hyponym
a car bomb,the bomb,hyponym
the first,the new,other-related
man,time,independent
and to form,forming a,synonym
council,parliamentary,other-related
amount,cash,other-related
beginning,go ahead,independent
the unite nation,un,other-related
george w.,president george w.,synonym
agency,same,independent
east timor,east timor 's,synonym
company,the company 's,other-related
combine,take,independent
stocks,u.s.,independent
look at the,view of,hypernym
constitution,order,hyponym
mandate,president,other-related
the factory,the plant,synonym
attend a,attends a,synonym
art,the craft,hypernym
perform,sit,independent
corner,horse,independent
job,official,other-related
gaza strip .,the gaza,hyponym
alcohol,drug,hypernym
make,representative,independent
gate,open,independent
draft,final,other-related
high,lowest,antonym
help,wear,independent
care,education,hypernym
being,the subject,independent
author,creation,independent
group of people,of people,hyponym
post,stick,hyponym
health,professional,other-related
being taken by,is taking,synonym
eight,people,independent
follow,hold,independent
to help,will make,independent
member,monetary,independent
full,several,independent
event,person,independent
chance,good,independent
association,minister,independent
early sunday,sunday morning,hyponym
administration,spending,independent
foot,mile,alternation
a little kid,little,hyponym
to give the,to hand,hypernym
research,research group,hypernym
cell,cellular,synonym
municipal,the city,other-related
protectionism,trade protectionism,hypernym
last year,percent,independent
chairman,speech,independent
first,state,independent
individual,people,antonym
animal,area,independent
minister,sunday,other-related
background,standing,independent
install,place,independent
day,site,independent
say it,stress,independent
egg,eggs,synonym
reserve,unite,independent
it activity,program,other-related
coat,rock,independent
protect,reduce,independent
put,represent,independent
ferry,sink,other-related
least,other people,independent
are n't,people are,antonym
fight,militia,other-related
to conserve,to protect the,synonym
", the world",world bank,hypernym
a bomb,bomb explode,hypernym
medium,player,independent
interim,outstanding,independent
end,iraqi,independent
friday,time,other-related
authorities,brazil,independent
north,people,independent
department,government,other-related
period,years,hypernym
company,part,independent
hold,run,independent
end,order,independent
lady in,woman in,synonym
locate,sign,independent
company,conglomerate,hypernym
baseball,league,hyponym
antarctica,continent,hyponym
hebron,the west bank,other-related
biological,nuclear,other-related
pilot,was,independent
a happy,very happy,hypernym
iraq,stay,independent
right,the left,antonym
march,rally,hyponym
's most important,most important,other-related
indigenous,region,other-related
flies,is flying,synonym
clark,clark kent,hypernym
committee,the ioc,hypernym
administration,issue,independent
combat,target,other-related
journalism,journalist,synonym
development,president,independent
direction,gather,independent
early,major,independent
kid,teenager,hypernym
delight,very,independent
chair,sofa,hypernym
strip,wood,other-related
sanction,u.s.,independent
the sky,the star,alternation
event,region,independent
draw,picture,other-related
friend,some people,hyponym
face,man,hyponym
practice,were,independent
international,the world,hyponym
approval by,be approved,hyponym
court in,justice,other-related
export,oil,other-related
people,young,other-related
are,refer to,independent
soldier,u.s. troops,hypernym
broker,maker,independent
bear,been,independent
the un,unite nation,other-related
netherlands,spain,alternation
opponent,player,synonym
force,operation,independent
killed,were,independent
place,police,independent
seize,were,independent
in israel .,the israeli,hypernym
be,stay in,independent
department 's,department .,synonym
driver,man,hyponym
activity,findings,independent
stand,wear,independent
's security,national security,hypernym
car,park,independent
jerusalem,west,other-related
former,main,independent
council,security council,hypernym
meant,take,independent
quarter,share,other-related
grow,more,other-related
government,politics,other-related
kill by,the killing,hyponym
a case,disease,alternation
involve,member,independent
play by,to play,hypernym
a cell phone,phone,hyponym
bank,role,independent
of america 's,unite state,other-related
is drawing,is making,hyponym
kid,toy,other-related
britain,today,independent
chinese,delegation,hyponym
governor,state,hypernym
amount,record,independent
have,state,independent
boat,row,hypernym
first,germany,independent
illness,use,independent
is operating,is putting,hypernym
commit,develop,independent
france,president,independent
committee 's,"committee ,",synonym
palestinian,refugee,other-related
win,winning,synonym
ask,leave,independent
there is a,they 've,independent
stop,to prevent,synonym
national union,unity,hyponym
issue,use,independent
area,wind,independent
cause,due,independent
swimming pool,"the pool ,",hyponym
state,the united,other-related
draw,paint,other-related
israel radio,jerusalem,other-related
manager,professional,hyponym
kill by,shoot to,hypernym
citizen,u.s. citizen,hypernym
a wave,wave,synonym
man,tall,independent
economy grow,growth was,hyponym
currency,yuan,hypernym
are,beach,independent
mouth,open,independent
probe,the police,independent
alone,original,independent
chance to,chance to get,hypernym
people,world,independent
were,were said,hypernym
a goal,ball,other-related
budget,deficit,hypernym
screen,wall,other-related
deficit,plan,independent
close,together,hypernym
hand,lap,other-related
do,show,independent
kid,play,independent
be,search,independent
exit,vote,independent
a number,measure,hypernym
charter,member,independent
"monday ,",say that,independent
direct,significant,independent
offer,step,independent
available,is,independent
big,man,independent
has been,"however ,",independent
little,other,independent
of people,there is,independent
attack,troops,other-related
country,korea,hypernym
arrive,visit,other-related
make,party,independent
bush is,president bush,other-related
broadcast,network,other-related
progress,unite,independent
general,sessions,independent
peace,support,other-related
live with,live with hiv,hypernym
graze,lawn,other-related
are eating,food for,other-related
eat,the food,other-related
report,state,independent
"madrid ,","madrid , spain",hypernym
man,someone,hyponym
nuclear,talks,independent
budget,chairman,independent
global,south,hypernym
space shuttle,space vehicle,hyponym
head,is doing,independent
cooperation,introduction,independent
not,stop,independent
enter,up,independent
man,one,independent
musab al-zarqawi,musab al-zarqawi 's,other-related
have find,identify,independent
bit,rate,independent
last,offer,independent
record,was,independent
eu,good,independent
destruction,is destroyed,synonym
been,control,independent
bit,serve,independent
introduction,research,independent
edinburgh,wales,independent
buy,make,independent
the man,woman,antonym
government,prevention,independent
will become,will take,independent
car was,the vehicle,hyponym
dry,wet,antonym
cover,is,independent
baghdad,washington,alternation
are holding,are taking,antonym
girl is,little girl,hypernym
drug,hiv,independent
stand,vast,independent
completing,drawing,other-related
child,man,alternation
iran,un,independent
eastern part of,was,independent
former,state,independent
hit,kick,hypernym
is,risk,independent
germany,interest,independent
kid,small child,hypernym
road,trip,hyponym
band,first,independent
peacekeeping,u.n.,other-related
man,man who,hypernym
become,go,independent
other,propose,independent
country,western,hypernym
of crude,of oil,hyponym
automobile industry,the automobile,other-related
out,town,independent
area,case,independent
reform,security,independent
leaders,people,hyponym
east,the east coast,hypernym
"""",get,independent
headquarters of,in geneva,other-related
korea to,north korea,hypernym
a suicide bomb,bomber,hyponym
answer,find,independent
report,sweden,independent
had been,take,independent
house,open,other-related
line,water,independent
death of,have die,other-related
filipino,the philippines,other-related
africa,east,other-related
let,place,independent
place,this year,independent
allow,have,independent
member state,union,other-related
the boy,young man,hyponym
corner,go,independent
group,soldier,hypernym
look,put,independent
population,were,independent
a baby,a toy,independent
a bid to,attempt to,other-related
atmosphere,sun,other-related
decision,government,other-related
take place,was a,independent
germany,the german,hypernym
army,set,independent
board,drawing,other-related
concrete,full,independent
"years ,",years ago .,hypernym
give,provider,hypernym
business,de,independent
improvement,sector,independent
experience,sound,independent
action,the eu,independent
career,history,independent
have,tell,independent
work,worker,other-related
bunch,full,independent
computer,operating,other-related
javier solana,"solana , the",hyponym
the city,the mainland,other-related
case,public,independent
evidence,law,other-related
mouse,observe,independent
straw,the foreign secretary,independent
playing,singing,hypernym
produce,production,other-related
break,man,independent
people were,"were wounded ,",independent
luis,party,independent
general,third,independent
deal,field,independent
a bomb,attack,hyponym
old,people,hyponym
play,was,independent
french,international,hyponym
quantity,water,independent
agency,news agency,hypernym
to fight the,war against,hypernym
drug,year,independent
a person,man,hypernym
color,hair,independent
san,st.,independent
job,percent,independent
are,take place,independent
sector,service,other-related
've,is a,independent
off the,the coast of,hyponym
extinct .,extinction .,synonym
concrete,small,independent
government,higher,independent
hit,undermine,independent
event,state,independent
and wound,was injured,other-related
box,boxer,other-related
competition,monopoly,antonym
maximum,was,independent
chief,justice,other-related
brief,take,independent
less,well,independent
the east coast,the west coast,alternation
federal,health,independent
locate,office,independent
history,new,alternation
the jewish,to israel,hypernym
africa,sub-saharan africa,hypernym
cent a,cent per,synonym
hit,play,hyponym
premier,state,independent
israel,pressure,independent
path,trail,synonym
marine,western,independent
beach,cat,independent
city,money,independent
brown,golden,hypernym
committee,new,independent
george bush,the bush administration,hypernym
foundation,provide,independent
the military,troops,hypernym
crowd,midst,independent
eu,out,independent
post,say,independent
control,under control,synonym
community,help,other-related
being,station,independent
less,very,independent
expand,increase,synonym
fly to,to visit,other-related
bread,piece,other-related
more,more important,hypernym
express,member,independent
big,past,independent
infect,infect with hiv,hypernym
an officer,police,hypernym
make,top,independent
territorial waters,"waters ,",hyponym
can,person,independent
man 's,people,hyponym
off the coast,the coast,hyponym
commission,election,independent
in front of,look at,independent
day,president,independent
friday,report,independent
burrow,dig,synonym
develop,method,independent
africa,percent,independent
dispute,use,independent
effect,the life,independent
others were,were injured,independent
kill,rule,independent
action,was,independent
"factory ,",plant at,independent
place in,was a,independent
object,piece,hypernym
commission .,office .,independent
area,guy,independent
man,race,independent
general,industry,independent
compete,part,independent
constitution,govern,other-related
a suicide,blew up,other-related
do,finish,other-related
in dealing,to combat,other-related
lie,person,other-related
of eu,was the,independent
boy,slowly,independent
make a,which is,independent
as president of,presidency of the,synonym
movement,palestinian,hypernym
force,member,independent
away,child,independent
past,the former,hypernym
oil,well,independent
a cut,cut,synonym
light,soil,independent
national,unity,other-related
classroom,the class,other-related
history,world,other-related
idf,the israeli army,hyponym
a girl,woman,alternation
least,more,antonym
lie,s,independent
area,internet,hypernym
have move,was,independent
criticism,reason,independent
lebanese,syrian,alternation
place,say,independent
brown,red,alternation
flower,plant,hyponym
international,un,other-related
in greece,in greek,other-related
headquarters,the unite nation,independent
have,present,antonym
return to,to make,independent
hand,starting,independent
jobless rate,unemployment rate,synonym
group,mass,independent
boy,lot,independent
commission,government,other-related
gun,shot,other-related
add,temporary,independent
airport,computer,independent
develop,occur,independent
so many,widespread,other-related
have,put,independent
man,three man,hypernym
police complaint,the complaint,hyponym
complete,round,independent
storm,threat,independent
boy,little girl,antonym
layer,year,independent
say,to show,independent
evacuated,report,independent
nuclear,nuclear weapon,hypernym
new,parliament,independent
die,family,independent
disease,work,independent
represent in,the participation of,hypernym
propose,related,independent
more,still less,antonym
kid,woman,alternation
are,experience,independent
case of,case to,other-related
have,many,independent
march,towards,other-related
the chance,the opportunity to,synonym
council,representative,other-related
", have",to give,antonym
swim,swimming,synonym
blanket,jacket,independent
item,merchandise,other-related
owner is,who own,synonym
health,occupational,alternation
hide,show,antonym
horse,race,other-related
party,wing,independent
is proposed,recommendation,synonym
full,possible,independent
hand,palm,hypernym
south african,the south,hyponym
15 member state,fifteen,hyponym
do,done,other-related
a dog,a puppy,hypernym
being,throw,independent
was killed on,was murdered,synonym
give,use,independent
country,relations,other-related
beginning,january,other-related
action,group,independent
first,have,independent
language,use,independent
economic,union,independent
in front,is doing,independent
is being,is getting,hypernym
a bunch of,a group,synonym
crude oil,oil from,other-related
the river,the water,hyponym
director,office,other-related
lady,man,alternation
cat,nobody,independent
large,pink,independent
dock,pond,independent
more,vast,independent
missile,wednesday,independent
come,to drop,independent
feel,say,other-related
argue,look,independent
company 's,the company,synonym
people,researcher,hypernym
food,general,independent
basket,net,independent
issue,magazine,hyponym
anyone,someone,other-related
treatment,use,other-related
lead,pending,independent
make,release,independent
campaign .,electoral campaign .,hypernym
of eu,was,independent
baby,equipment,independent
", have",take place,independent
iraq,peace,independent
hospital,life,independent
achieve,reform,independent
consider a,is a,independent
do a,perform a,synonym
street,the sidewalk,other-related
iran,iran 's,hypernym
community,crisis,other-related
ride,sit,other-related
is being,man,independent
overall,way,independent
china 's,in china .,hypernym
is aimed at,try to,hyponym
force .,military .,other-related
earth,ozone,other-related
kill .,say .,independent
for man,man is,synonym
make,to help,independent
a pistol,a weapon,hypernym
"""",part,independent
environmental,reduce,independent
adverse,drug,other-related
game,the competition,hypernym
is making a,make of,other-related
of southeast,southeast asian,hypernym
province,supply,independent
foot,hand,other-related
girl,the kid,hyponym
increase,say,independent
aim at,was,independent
is,record,independent
art,artwork,hypernym
grow,were,independent
long-term,low,independent
annan,secretary-general,other-related
a victory,the winner,other-related
sun,sunshine,hypernym
an airplane,fly,other-related
day .,friday .,hypernym
bit,world,independent
attempt to,try to,synonym
a car,another car,other-related
a young,one little,other-related
disease,heart,other-related
adult,child,antonym
international,monday,independent
become,title,independent
economic,nation,alternation
a classroom,the class,other-related
child,children are,other-related
pollution,sewage,hypernym
concern,expect,independent
bike,motorcycle,hypernym
drug,increase,independent
man who,woman who,antonym
contain,have,synonym
pope,vatican,other-related
half of,"year ,",alternation
job,number,independent
playing,tease,hypernym
give,lead,independent
early,friday,independent
monitor,take,independent
as well,use,independent
cost,vehicle,independent
party,were,independent
australia,new,independent
ability,risk,independent
more time,still,independent
jail,row,independent
find,were,independent
", are",is located,independent
headquarters,is,independent
are in,in front,independent
"""",new,independent
north,nuclear,independent
the u.n.,un,synonym
huge,yuan,independent
government,revenue,other-related
israelis,people,hyponym
river,seas,alternation
focus,is,independent
hat,umbrella,other-related
allow,measure,independent
airplane,fly,other-related
have,inhabitant,independent
marry,wedding,other-related
award,role,independent
increase,report,independent
official say,say saturday,independent
it sales,revenue,synonym
illness,severe,other-related
authority,economy,independent
economy,reform,independent
a phone call,call,hyponym
parliament,say,independent
lie,man,independent
's visit,his visit to,hypernym
%,business,independent
relate,was,independent
citizen,republic,other-related
kid,the child,synonym
give,have,independent
high,young,independent
day,monday,hypernym
field,play,other-related
human,time,independent
girl,mouth,independent
financial,provide,independent
health,mental health,hypernym
girl,teenage girl,hypernym
investor,security,independent
american,command,independent
area,city,hypernym
"""",screen,independent
of paper,piece of,independent
crude,crude oil,hypernym
commissioner,union,independent
the first,the very,independent
and later,and then,synonym
air pollution,pollution .,hyponym
it nuclear,of nuclear weapon,hypernym
drive,driver 's,other-related
air,boy,independent
earth,layer,other-related
drinking,virgin,independent
only,poorly,independent
the great,the world,independent
close,dispute,independent
department,general,other-related
matsushita,panasonic,alternation
towards,track,independent
little,man,independent
were,were kill,independent
other,substance,independent
a u.s. soldier,us soldier,synonym
avert,relieve,independent
iraq,nation,hyponym
department,effort,independent
iraqi,u.s.,independent
illegal,smuggling,other-related
much,yesterday,independent
playing,prize,independent
military,the israeli army,hypernym
inquiry,october,independent
court,justice,other-related
car,the trunk,hypernym
high,stick,independent
focus,world,independent
executive of the,head of the,synonym
boys are,kids are,hyponym
gear,man,independent
thus,thus far,hypernym
state,use,independent
force,promotion,independent
government,help,independent
find in,was in,independent
congress,last,independent
parliament,party,other-related
dog,owner,other-related
"a share ,",per share,synonym
set,station,independent
product,trade,hyponym
member state,other country,independent
envoy,movement,hyponym
building,project,hyponym
receive,was,independent
a bid,attempt to,independent
also,such as,other-related
protect,protective,synonym
a small,little boy,hypernym
hundred of people,of hundred,other-related
israeli,people,hyponym
african,trade,independent
attend,watch,other-related
road,street,synonym
parliament,russian,independent
say,use,independent
force,troops,other-related
do,have fun,hypernym
governor,senator,other-related
other,relations,independent
accord,follow,independent
beginning of,creation of,synonym
%,mine,independent
paper is,paper use,other-related
earn,play,independent
israeli,jew,other-related
bush,mountain,independent
another man,another person,hyponym
key,system,independent
poverty,the world,independent
percent,population,independent
marketplace,product,other-related
police,the cop,synonym
been,sentence,independent
military,operations,hypernym
january,the first,other-related
say that,that he have,independent
newspaper,paper,hyponym
gaza strip,strip .,hyponym
effort,spending,independent
person,someone,synonym
days,week,hyponym
keep,state,independent
general,use,independent
a police officer,officer,hyponym
measure,various measure,hypernym
cultural,economic,independent
a group,a pack,hypernym
award,receive,other-related
account,issue,independent
", israel radio",the radio,hyponym
sector,services sector,hypernym
is showing,show to,synonym
follow,output,independent
attention,president,independent
girl,the lady,other-related
female,woman,hyponym
coast,sea,other-related
aid,humanitarian,other-related
are infected,infect with hiv,hypernym
officially,open,other-related
fish,tackle,other-related
has been,was officially,independent
compare,report,independent
deal,mention,independent
offer,win,independent
a girl,a young lady,synonym
stand,view,independent
report,washington,independent
terrorist,u.s.,other-related
say,support,independent
a car bomb,car bomb explosion,other-related
the u.s. military,u.s. soldier,hypernym
a number,years,other-related
president bush,the president,hyponym
are,belongs to,independent
a little girl,girl,hyponym
professor,university,other-related
animal,puppy,hypernym
and is,and is looking,hypernym
federal reserve,unite state,other-related
area,oil,independent
stone,street,other-related
february,spring,alternation
front,ribbon,independent
january,the beginning,other-related
bomb explode,explode outside,hypernym
legislation,measure,hyponym
"""",soldier,independent
a little boy,a young boy,synonym
face,turn,independent
green,strip,independent
the last,"this year ,",independent
manager,office,other-related
department,young,independent
general,unite nation,independent
base,stand,independent
liberation,national,other-related
rain,the water,hyponym
groom,marriage,other-related
lot of,many people,hypernym
attack,tuesday,independent
complete,trip,independent
a police station,police,other-related
company,sales,other-related
the united state,united,other-related
live,resident,other-related
have take,was,independent
c,more,independent
foreign,powell,other-related
envoy,member,independent
be acquired,be bought,hypernym
a risk,threat,synonym
have cause,make it,independent
distance,out,independent
"people ,",were killed,other-related
the high,the lowest,antonym
"% , the",percent .,synonym
is,is now,hypernym
are,money,independent
attention,message,other-related
apparent,suppose,independent
increase,percent,other-related
being,rest,independent
response,was,independent
the police,the police officer,hypernym
are raising,raise,synonym
of the unite,the unite nation,hypernym
weather .,weather conditions .,synonym
level,soldier,independent
play,push,independent
flee,see,independent
interest rates,rates,hyponym
western,western european,hypernym
mix,shake,hypernym
take,up,independent
europe,the european,synonym
bush,president george bush,hypernym
air,day,independent
scenic,view,other-related
help,place,independent
place at,take part in,independent
bird,health,independent
's visit,visit to china,hyponym
area,man,independent
grow,spending,independent
retirement,time,independent
aid,area,independent
experience,reduce,independent
eu,statistics,independent
is playing,play the,other-related
another woman,one woman,alternation
and is,and prepare,independent
off the coast,on the coast,alternation
day,palestinian,independent
percent,yuan,independent
presidential election,"presidential election ,",synonym
a board,boards,hyponym
government,pressure,independent
people were injured,wound by,hyponym
manufacturer,output,other-related
drive,the road,other-related
last,third and final,hypernym
an american,washington,other-related
to push,to show,independent
good,win,independent
china,west,independent
freedom,movement,hyponym
breast cancer,cancer .,hyponym
become,will become,hypernym
switzerland,zurich,other-related
of them were,people were,hypernym
korean,north,other-related
", president",say the,independent
a pole,a stick,hypernym
commissioner,officer,hyponym
podium,speak,other-related
practice,range,independent
jump,jump off,hypernym
citizen,national,independent
architect,build,other-related
arctic,inuit,independent
need,reduce,independent
achieve,strike,independent
live with,reach,independent
resource,state,independent
agreement,property,other-related
agency,program,independent
progress,was,independent
box,boy,independent
car,garage,other-related
a boy,a person,hyponym
criticism,criticize,synonym
cambodia,khmer,hypernym
editor,newspaper,other-related
is being used,is using,synonym
authority,eligible,independent
member,partner,hypernym
being,reality,independent
price,risk,independent
baseball,the ball,hyponym
conference,un,other-related
case,involve,independent
drink,water,other-related
death penalty,"penalty ,",hyponym
happy,very,independent
company,industry,hyponym
lord,major,independent
case,death,independent
hockey,ice hockey,hypernym
computer,personal,other-related
break,work,other-related
hiv,time,independent
internet,new,independent
jeep,vehicle,hyponym
kill,take,independent
community,international,hypernym
bike,cyclist,other-related
open a,open and,other-related
stick,wooden,hyponym
first,myanmar,independent
john,unite,independent
army,gun,other-related
el salvador,"salvador ,",independent
people can,population,independent
minister,political,hyponym
country,prime,independent
committee,support,independent
detain,use,independent
attend,was,independent
arrest,hold,other-related
assistant secretary,secretary,hyponym
a swimming pool,the pool,hyponym
find,identify,hypernym
the primary,the second,alternation
"""",film,independent
economy,interest,independent
berne,switzerland,hyponym
report,representative,independent
the election,the vote,other-related
company,street,independent
race,style,independent
approve,oppose,antonym
period,stock,independent
